judul,sumber,tanggal,episode,label_leksikon,label_audit
"Sah! RI Buka Keran Ekspor Pasir Laut, Aturannya Berlaku Bulan Ini",CNBC Indonesia,2024-09-10 07:00:00,E3_ekspor_dibuka,netral,
"Muat 1.500 Kubik Pasir Laut, Kapal Pengeruk Ditangkap di Bengkalis",Riauin.com,2022-02-14 08:00:00,E0_sebelum_pp,netral,
"Nelayan Bintan Tolak 13 Izin Tambang Pasir Laut, Walhi: Negara Gagal Lindungi Laut",Batam Pos – Kepri,2026-06-07 07:00:00,E4_pasca_putusan_ma,menolak,
"Izin Ekspor Pasir Laut Sudah Dibuka, tapi Kok Masih Sepi Peminat?",CNBC Indonesia,2024-10-15 07:00:00,E3_ekspor_dibuka,netral,
Pakar: Sedimentasi Laut Perlu Dikeruk agar Tak Ganggu Pelayaran,finance.detik.com,2023-06-16 07:00:00,E1_pp_disahkan,mendukung,
Kejari Takalar Selamatkan Kerugian Negara Rp7 Miliar dari Korupsi Penambangan Pasir Laut,sulselsatu.com,2025-02-25 08:00:00,E3_ekspor_dibuka,netral,
"Warga Pesisir Morodemak Demak Tolak Penambangan Pasir Laut, Khawatir Banyak Desa Tenggelam",kuasakata.com,2023-06-28 07:00:00,E1_pp_disahkan,menolak,
Bahaya Dampak Ekspor Pasir Laut,Tempo.co,2023-05-29 07:00:00,E1_pp_disahkan,menolak,
"GMNI Minta Cabut Ijin Penambangan Pasir, Bupati SBD Tak 'Bergeming' Tetap Tolak Penambangan Pasir - Victory News",victorynews.id,2026-06-18 07:00:00,E4_pasca_putusan_ma,menolak,
BPS Belum Catat Adanya Ekspor Pasir Laut sejak Mei 2023,Kompas.com,2023-06-15 07:00:00,E1_pp_disahkan,netral,
Jokowi Izinkan Ekspor Pasir Laut,Tempo.co,2023-05-30 07:00:00,E1_pp_disahkan,netral,
"Mohamad Akhyak, Seniman asal Jombang, Berhasil Menyulam Pasir Laut Menjadi Karya Seni - Koran Memo",Koran Memo,2024-12-03 08:00:00,E3_ekspor_dibuka,netral,
"Rieke Diah Pitaloka Terpilih Lagi Jadi Anggota DPR, Tetapkan Lawan Kebijakan Ekspor Pasir Laut",Tempo.co,2024-10-03 07:00:00,E3_ekspor_dibuka,menolak,
"Permendag Ekspor Pasir Laut Tekenan Zulhas di Era Jokowi, Regulasi Tipu Tipu - Sawitku Id",Sawitku,2025-01-28 08:00:00,E3_ekspor_dibuka,menolak,
"Hasilkan 1000 triliun dari ekspor pasir laut, Susi Pudjiastuti tetap tolak keputusan Jokowi - Hops ID",Hops ID,2023-06-10 07:00:00,E1_pp_disahkan,menolak,
Pengusaha Konstruksi Ungkap Bangunan yang Pakai Pasir Laut Umurnya Pendek - kumparan.com,Kumparan.com,2023-06-03 07:00:00,E1_pp_disahkan,netral,
"Di Wanasalam, Pasir Laut Dijarah untuk Industri Hebel, Dewan Asep AW Tak Tinggal Diam",iNews.ID,2024-09-14 07:00:00,E3_ekspor_dibuka,menolak,
Kapal Asing Sedot Pasir Laut di Batam Apes Ketemu Menteri Ketahuan - law,law-justice.co,2024-10-12 07:00:00,E3_ekspor_dibuka,netral,
Pengamat Ingatkan Dampak Lingkungan dari Ekspor Pasir Laut,Kompas.com,2024-08-05 07:00:00,E2_aturan_persiapan,menolak,
Berapa Besar Potensi PNBP dari Ekspor Pasir Laut?,gokepri,2024-09-27 07:00:00,E3_ekspor_dibuka,netral,
KKP Hentikan Operasional Kapal Keruk Pasir di Lamongan,bisnistoday.co.id,2024-04-26 07:00:00,E2_aturan_persiapan,netral,
KKP: Aturan Ekspor Sedimen Laut Kelar Maret 2024,betahita.id,2024-01-16 08:00:00,E2_aturan_persiapan,netral,
Aktivis Lingkungan Bitung Beber Multi Efek Tambang Pasir Laut Ancam Nelayan,BeritaManado.com,2023-06-13 07:00:00,E1_pp_disahkan,menolak,
"Warga Numbing Tolak Sedimentasi Pasir Laut, Khawatir Rusak Ekosistem",Batam Pos – Kepri,2026-04-17 07:00:00,E4_pasca_putusan_ma,menolak,
